Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
MACACÃO LONGO COM FAIXA - CSI250594 (MARROM (Marsala TC, PP),INSTAGRAM / LINKTREE,264,1,0,0,0
BLUSA ML COM AMARRAÇÃO - CI261894 (BEGE (Ivory Cream TC) (13-1011), G),google / cpc,259,1,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),google / cpc,257,6,0,0,0
CAMISA ESTAMPADA (CAI251087) - CAI251087.1 (CAI25R001 MONO ALT11 - CREPE - SAT P (CC0119-E), G),facebook / cpc01_adv,256,278,7,0,0
VESTIDO AMPLO ANIMAL PRINT - CSI261824 (SI26R026 FORÇA SILENCIOSA ALT4 - OP6 ALT1 (CSI261823 e CSI26,google / cpc,256,6,0,0,0
CAMISA COM BOTÕES - CI262058 (BRANCO (off white) (11-0602), G),google / cpc,254,5,0,0,0
CAMISA COM DETALHE CINTO - CSI250588 (BRANCO (off white), G),google / cpc,249,47,1,0,0
VESTIDO TRICOLINE - CSV261292 (AMARELO (Daffodil TC) (14-0850), G),(direct) / (none),247,84,4,1,8.909999
MACACÃO ALFAIATRIA COM LAPELA - CSI250684 (Gray Sand TC (13-1010), G),google / organic,244,9,0,0,0
VESTIDO TRICOLINE - CSV261292 (AMARELO (Daffodil TC) (14-0850), G),INSTAGRAM / LINKTREE,241,62,6,0,0
COORDENADO REGATA E CALÇA - CAV261659.C (BEGE (Smoke Gray TC) (14-1209), G),google / cpc,239,7,0,0,0
BLUSA MANGA LONGA COM BOTÕES - CSI250580 (SI25R001 ONÇA PRINT (CC0066-E), G),edrone / email,236,10,0,0,0
SAIA COM AMARRAÇÃO PERSONALIZADA - CSI250681 (BEGE (Gray Sand TC), G),google / cpc,236,91,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),edrone / email,235,2,0,0,0
VESTIDO CURTO MANGA LONGA RETILÍNEA - CRI250044 (NUDE (Toasted Almond TC) (14-1213), G),google / organic,234,12,0,0,0
BLUSA BASIC - CSI261820 (BRANCO (off white) (11-0602), G),google / cpc,233,8,0,0,0
COORDENADO BLAZER E SAIA - CI251029 (CINZA (Gargoyle TC), G),facebook / cpc03_interesses_top/estados_all,229,46,0,0,0
JAQUETA ANIMAL PRINT - CSI261826 (SI26R026 FORÇA SILENCIOSA ALT4 - OP6 ALT1 (CSI261823 e CSI26 (CC01,google / cpc,228,9,0,0,0
VESTIDO COM PREGAS - CSI261594 (LARANJA  (Tangerine Tango) (17-1463), G),google / cpc,226,27,0,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),edrone / email,226,1,0,0,0
VESTIDO TUBO - CI250782 (PRETO (Raven TC) (19-0000), G),facebook / cpc03_interesses_top/estados_all,226,23,0,0,0
COORDENADO BLAZER E SAIA - CI251029 (CINZA (Gargoyle TC), G),(direct) / (none),224,52,0,0,0
BLUSA BÁSICA MALHA - CV261272 (Branco de Neve (off white) (11-0602), G),google / cpc,223,14,0,0,0
BLUSA GOLA ALTA - CRI250048 (Moon Rock TC (17-1210), G),google / organic,223,40,0,0,0
